entry,mean,sd
0,0.0,1.0
1,0.0,1.4866068747318508
2,0.0,1.881754500459611
3,0.0,2.237208081515888
4,0.0,2.5720828135967944
5,0.0,2.896061290787887
6,0.0,3.2149476045497236
7,0.0,3.5326303104061156
8,0.0,3.851937772212839
9,0.0,4.17506491699231
10,0.0,4.503807696517471
11,0.0,4.839701658566467
12,0.0,5.1841087332659335
13,0.0,5.538274252342197
14,0.0,5.903365977437972
15,0.0,6.28050179921393
16,0.0,6.670770055617443
17,0.0,7.075244903776448
18,0.0,7.494998298415822
19,0.0,7.9311095971863645
20,0.0,8.384673481229894
21,0.0,8.856806666373826
22,0.0,9.348653740409697
23,0.0,9.86139236791052
24,0.0,10.396238039659934
25,0.0,10.954448498897582
26,0.0,11.537327944827583
27,0.0,12.146231091048342
28,0.0,12.782567140010036
29,0.0,13.447803722457836
30,0.0,14.143470841824007
31,0.0,14.87116485682539
32,0.0,15.632552530497584
33,0.0,16.42937517012266
34,0.0,17.2634528796735
35,0.0,18.136688944280266
36,0.0,19.051074364658177
37,0.0,20.008692558298495
38,0.0,21.011724243425633
39,0.0,22.062452521193936
40,0.0,23.16326817128642
41,0.0,24.316675175945075
42,0.0,25.52529648747818
43,0.0,26.791880054431278
44,0.0,28.119305121857757
45,0.0,29.51058882146796
46,0.0,30.96889306786286
47,0.0,32.49753177756116
48,0.0,34.09997842810105
49,0.0,35.77987397513653
50,0.0,37.54103514614798
51,0.0,39.38746313014777
52,0.0,41.32335268358105
53,0.0,43.35310167349954
54,0.0,45.48132108002215
55,0.0,47.71284548109108
56,0.0,50.052744043585875
57,0.0,52.50633204597322
58,0.0,55.07918295884746
59,0.0,57.77714111095852
60,0.0,60.60633496963147
61,0.0,63.573191065859604
62,0.0,66.68444859580022
63,0.0,69.94717473192547
64,0.0,73.3687806786808
65,0.0,76.95703850918383
66,0.0,80.72009882126262
67,0.0,84.6665092529853
68,0.0,88.80523389977884
69,0.0,93.14567367727754
70,0.0,97.69768767618434
71,0.0,102.47161555767816
72,0.0,107.47830104025951
73,0.0,112.72911653140333
74,0.0,118.23598895998539
75,0.0,124.01142686817359
76,0.0,130.06854882433495
77,0.0,136.42111322150706
78,0.0,143.08354952912921
79,0.0,150.0709910690279
80,0.0,157.39930939011225
81,0.0,165.08515031986587
82,0.0,173.14597177452896
83,0.0,181.6000834138591
84,0.0,190.46668823054767
85,0.0,199.7659261687636
86,0.0,209.51891987090406
87,0.0,219.74782265646536
88,0.0,230.475868842018
89,0.0,241.7274265165858
90,0.0,253.52805289230722
91,0.0,265.90455235610574
92,0.0,278.8850373542315
93,0.0,292.49899224797036
94,0.0,306.77734028556614
95,0.0,321.752513842479
96,0.0,337.4585280895271
97,0.0,353.9310582562445
98,0.0,371.20752066495595
99,0.0,389.3271577196305
