individuals,value
0,-0.30963330473207773
1,-1.541218049501031
2,0.48532244211893083
3,0.20653855608026186
4,1.6464814100371006
5,0.2348382304527031
6,1.4698517092436179
7,0.29346495474453765
8,-0.6993310302894085
9,0.5657371764065685
10,0.46702993436828516
11,-0.5488829877104248
12,-0.7156801624819719
13,-0.18641278402575182
14,0.05066418337563421
15,-0.15228436878204937
16,-0.3203244473838312
17,-1.5301552109804961
18,-1.3723550753746552
19,-0.6528659745735282
20,0.6461090477840383
21,-1.4661796610149478
22,-1.4848754626487428
23,-1.6392949674350046
24,-0.4035612159749985
25,-0.9629140663318776
26,0.01262542686473401
27,-0.8363286314281576
28,-0.4704674750855017
29,1.164706293285026
30,-1.1336989728655278
31,-0.19261805728717818
32,1.4781674405537666
33,-0.06624436405789792
34,0.46425977372276783
35,-0.7416445605239833
36,0.5562757668442898
37,0.45812605146668506
38,0.32709466743562327
39,-1.1711252089556237
40,-0.3938496500484197
41,0.871747906970508
42,-0.6157575860526764
43,-1.4884916435647826
44,0.2556035593126649
45,-0.01000596924095742
46,0.9866662780991344
47,-0.8686850773888972
48,-0.3360834892034711
49,0.7341459072343572
50,1.9193885495774885
51,-0.2257726020157668
52,0.9686958529245457
53,-0.8249490400399001
54,-0.9166208604383345
55,0.4620872053751872
56,0.31762431438863997
57,0.6034512624182423
58,0.13187667842866918
59,-0.49613983086900854
60,0.48691613806360834
61,0.10823493954814198
62,0.7820371631735139
63,0.8201473494914581
64,-1.3211180916063434
65,-1.1745304862527934
66,-0.07488202626521441
67,-1.576826746580942
68,-0.5996033180194188
69,1.2459881838632794
70,0.372239888543816
71,1.0855168283443817
72,-0.3447811038917965
73,-0.27118359621640753
74,0.14605213281587198
75,2.7630979294560167
76,-0.2111387400489857
77,-0.7590520305687152
78,-1.1101232641135852
79,0.2690732901607752
80,-1.5039128711362006
81,1.0790327296317757
82,0.847806826047304
83,1.0420362432852381
84,0.10899859365436614
85,0.05170187321245171
86,0.7411490413617936
87,0.431792916671564
88,-0.44747661794955607
89,-1.2138333525470901
90,-0.4641148721390052
91,2.185689289014067
92,0.6711371773321073
93,1.185525179087843
94,0.06903606623220256
95,-0.9787797558777028
96,-0.09255246451726255
97,-0.38825854828147865
98,-1.8384847031061362
99,0.9466964941206687
100,-1.287428238899525
101,0.04873198069974437
102,0.4180256936964155
103,-0.5086840993885462
104,0.2581964582251505
105,-0.7382190737991434
106,0.551037095136571
107,1.1837473220626216
108,0.2538122974703931
109,-0.9968098809627132
110,0.8081175600079418
111,-0.9295392389297727
112,-0.9209532888882072
113,0.9951475422627489
114,-1.1184464678665527
115,0.19338011026300395
116,-1.4203203863199265
117,-1.776139894940815
118,-1.1705366052060424
119,1.7563209455564543
120,4.5916008454602823E-4
121,-1.1413419632779687
122,-0.7169265642911942
123,0.7617948108279949
124,0.0540213541863052
125,-0.40478162255757977
126,-0.22701115397752417
127,-0.8788295193987197
128,0.3846955062818192
129,0.044503877463187694
130,-0.9097073340878107
131,-1.7334497712865493
132,1.2498148131330855
133,-0.08039303431470654
134,0.9111941913254895
135,1.2205434472993026
136,-1.6373021986262761
137,1.7930845544375293
138,0.5658201327498198
139,1.2325667574622885
140,-0.16548883251662774
141,0.48973733526367885
142,-1.031349581795958
143,0.20258260906658776
144,1.554330089087919
145,-1.4004562533560072
146,-0.4586826323469405
147,-0.9703220431136884
148,0.46458544520785683
149,-0.20963208382811896
150,-0.4848143280536872
151,-1.6332518463246541
152,0.6683117110128913
153,1.7641361738746717
154,1.8308057462857705
155,-1.0970826740326263
156,-0.2534149312535268
157,-0.22060372111091692
158,-0.8072591565984154
159,-0.7946996930510755
160,0.3059762983428205
161,0.040805821373206395
162,0.696414057755035
163,-0.6054397196519391
164,1.6825924985064333
165,-0.37404977245728843
166,1.0812775323358579
167,0.0017359555543498962
168,-1.9027758705428337
169,-0.10087216826842886
170,-0.5204619777778987
171,-0.28229808920815613
172,0.2295289420695775
173,-0.863673579982736
